Authors,Year,Title,Abstract,Journal,Volume,Issue,Pages,DOI
"B. Levine, G. R. Turner, D. Tisserand, S. J. Hevenor, S. J. Graham and A. R. McIntosh",2004,The Functional Neuroanatomy of Episodic and Semantic Autobiographical Remembering: A Prospective Functional MRI Study,"Autobiographical memory comprises episodic and semantic components mediated by dissociable states of consciousness, one promoting the experience of the self at a specific moment in the past, and the other involving self-knowledge that does not require mental time travel. These components can be difficult to dissociate using retrospective autobiographical stimuli collection. In this study, we manipulated the episodic/semantic distinction within prospectively collected autobiographical stimuli. Over several months, participants made recordings documenting specific episodes, repeated episodes, and world knowledge. These recordings were later played back to participants during scanning with functional MRI. The results indicated overlapping but distinct patterns of brain activity corresponding to episodic and semantic autobiographical memory. Both episodic and semantic autobiographical memory engaged the left anteromedial prefrontal cortex associated with self-reference, but the episodic condition did so to a greater degree. The episodic condition uniquely engaged the medial temporal, posterior cingulate, and diencephalic regions associated with remote memory recovery. Whereas the episodic condition engaged the right temporo-parietal cortex involved in reconstruction of spatial context and attentional orienting, the semantic condition engaged the left temporo-parietal and parieto-frontal systems involved in egocentric spatial processing and topdown attentional control. Episodic recollection was also associated with suppression of emotional paralimbic regions. These findings support a functional neuroanatomical dissociation between episodic and semantic autobiographical memory, providing concordance to amnesic syndromes with disproportionate impairment in one of these two forms of autobiographical memory. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Cognitive Neuroscience,16,9,1633-1646,10.1162/0898929042568587
"P. A. Leynes, B. Askin and J. D. Landau",2017,Visual perspective during remembering: ERP evidence of familiarity-based source monitoring,"Autobiographical recollections are accompanied by visual perspectives that can be either a view through the person's own eyes (first-person) or a view that integrates visual characteristics of the rememberer into the reconstructed scene (third-person). Some have argued that a third-person perspective serves as a coping mechanism allowing the person to distance themselves from details of painful memories. The study reported here created first- and third-person memories in a novel experimental paradigm. Later, participants discriminated between these perspectives on a source memory test while event-related potentials (ERPs) were recorded. Experimental evidence from the current study suggests that memories from different perspectives can be effectively modeled in the lab. Directly comparing first-person and third-person memories revealed no strong source memory or ERP differences; however, more first-person memories were recognized. Surprisingly, the modeling of the behavioral data using ROC curves and Dual Process Signal Detection (DPSD) measures of recollection and familiarity suggest that familiarity contributed to source judgments of both first- and third-person memories. The ERP data support this claim because the putative ERP correlate of familiarity (i.e., FN400) was observed during the source test. Because source monitoring tends to draw on recollection, evidence of familiarity-based source monitoring has been elusive, and these results support a key prediction of the Source Monitoring Framework (SMF) - that source decisions can be based on familiarity in some contexts (Johnson, Hashtroudi, & Lindsay, 1993; Mitchell & Johnson, 2009).",Cortex,91,,157-168,10.1016/j.cortex.2016.12.003
L. K. Libby and R. P. Eibach,2002,Looking back in time: Self-concept change affects visual perspective in autobiographical memory,"People who change often report that their old selves seem like different people. Correlational (Study 1) and experimental (Studies 2 and 3) studies showed that participants tended to use a 3rd-person observer perspective when visualizing memories of actions that conflicted with their current self-concept. A similar pattern emerged when participants imagined performing actions that varied in self-concept compatibility (Study 4). The authors conclude that on-line judgments of an action's self-concept compatibility affect the perspective used for image construction. Study 5 shows applied implications. Use of the 3rd-person perspective when recalling past episodes of overindulgent eating was related to optimism about behaving differently at an upcoming Thanksgiving dinner. The authors discuss the effect of self-concept compatibility on cognitive and emotional reactions to past actions and consider the role of causal attributions in defining the self across time. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Personality and Social Psychology,82,2,167-179,
L. K. Libby and R. P. Eibach,2011,Self-enhancement or self-coherence? Why people shift visual perspective in mental images of the personal past and future,"It is often assumed, by laypeople and researchers alike, that people shift visual perspective in mental images of life events to maintain a positive self-concept by claiming ownership of desirable events (first-person) and disowning undesirable events (third-person). The present research suggests that people shift perspective not according to the pictured event's desirability but according to whether they focus on the experience of the event (first-person) or on the event's coherence with the self-concept (third-person). This explains why self-change promotes third-person imagery of prechange selves (Studies 1 and 2). And, the same mechanism determines perspective apart from self-change, in both memory and imagination (Studies 3 and 4). By demonstrating that people shift perspective according to whether they focus on the experience of an event or its self-concept coherence, these results suggest how perspective may function more broadly in social cognition, and specifically in the construction and maintenance of the temporally extended self.",Pers Soc Psychol Bull,37,5,714-726,10.1177/0146167211400207
"L. K. Libby, E. M. Shaeffer and R. P. Eibach",2009,Seeing Meaning in Action: A Bidirectional Link Between Visual Perspective and Action Identification Level,"Actions do not have inherent meaning but rather can be interpreted in many ways. The interpretation a person adopts has important effects on a range of higher order cognitive processes. One dimension on which interpretations can vary is the extent to which actions are identified abstractly-in relation to broader goals, personal characteristics, or consequences-versus concretely, in terms of component processes. The present research investigated how visual perspective (own 1st-person vs. observer's 3rd-person) in action imagery is related to action identification level. A series of experiments measured and manipulated visual perspective in mental and photographic images to test the connection with action identification level. Results revealed a bidirectional causal relationship linking 3rd-person images and abstract action identifications. These findings highlight the functional role of visual imagery and have implications for understanding how perspective is involved in action perception at the social, cognitive, and neural levels.",Journal of Experimental Psychology-General,138,4,503-516,10.1037/a0016795
"L. K. Libby, E. M. Shaeffer, R. P. Eibach and J. A. Slemmer",2007,Picture yourself at the polls: Visual perspective in mental imagery affects self-perception and behavior,"The present research demonstrates that the visual perspective--own first-person versus observer's third-person--people use to picture themselves engaging in a potential future action affects their self-perceptions and subsequent behavior. On the eve of the 2004 U.S. presidential election, registered voters in Ohio were instructed to use either the first-person or the third-person perspective to picture themselves voting in the election. Picturing voting from the third-person perspective caused subjects to adopt a stronger pro-voting mind-set correspondent with the imagined behavior. Further, this effect on self-perception carried over to behavior, causing subjects who were instructed to picture voting from the third-person perspective to be significantly more likely to vote in the election. These findings extend previous research in autobiographical memory and social judgment linking the observer's perspective with dispositional attributions, and demonstrate the causal role of imagery in determining future behavior. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychological Science,18,3,199-203,DOI 10.1111/j.1467-9280.2007.01872.x
S. E. Lind and D. M. Bowler,2010,Episodic memory and episodic future thinking in adults with autism,"The ability to remember past experiences (episodic memory) is thought to be related to the ability to imagine possible future experiences (episodic future thinking). Although previous research has established that individuals with autism spectrum disorder (ASD) have diminished episodic memory, episodic future thinking has not previously been investigated within this population. In the present study, high-functioning adults with ASD were compared to closely matched typical adults on a task requiring participants to report a series of events that happened to them in the past and a series of events that might happen to them in the future. For each event described, participants completed two modified Memory Characteristics Questionnaire items to assess self-reported phenomenal qualities associated with remembering and imagining, including self-perspective and degree of autonoetic awareness. Participants also completed letter, category, and ideational fluency tasks. Results indicated that participants with ASD recalled/imagined significantly fewer specific events than did comparison participants and that participants with ASD demonstrated impaired episodic memory and episodic future thinking. In line with this finding, participants with ASD were less likely than comparison participants to report taking a field (first-person) perspective and were more likely to report taking an observer (third-person) perspective during retrieval of past events (but not during simulation of future events), highlighting that they were less likely to mentally reexperience past events from their own point of view. There were no group differences in self-reported levels of autonoetic awareness or fluency task performance. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",Journal of Abnormal Psychology,119,4,896-905,10.1037/a0020631
M. V. Lombardo and S. Baron-Cohen,2010,Unraveling the paradox of the autistic self,"Paradoxically, individuals with autism spectrum conditions have been characterized as both impaired in self-referential cognitive processing, yet also egocentric. How can the self in autism be both 'absent' (i.e., impaired self-referential cognition), yet 'all too present' (i.e., egocentric)? In this paper, we first review evidence in support of both claims. Second, we highlight new evidence illustrating atypical function of neural systems underlying self-representation in autism. We suggest that egocentrism and impaired self-referential cognition are not independent phenomena. Instead, both egocentrism and impaired self-referential cognition in autism can be resolved as expressions of one common mechanism linked to the atypical function of neural circuitry coding for self-relevant information. We discuss how autism provides a unique window into the neurodevelopmental mechanisms enabling a critical developmental transition in self-awareness. This transition involves a dual understanding that one is similar to, yet distinct from others. The neural and cognitive basis of this developmental transition is central to understanding the development of social cognition as well as the paradox of the autistic self and its relation to social impairment in autism. Copyright (c) 2010 John Wiley & Sons, Ltd. For further resources related to this article, please visit the WIREs website.",Wiley Interdisciplinary Reviews-Cognitive Science,1,3,393-403,10.1002/wcs.45
"M. Luchetti, O. Montebarocci, N. Rossi, A. G. Cutti and A. R. Sutin",2014,Autobiographical memory and psychological distress in a sample of upper-limb amputees,"Amputation is a traumatic and life-changing event that can take years to adjust to. The present study (a) examines psychological adjustment in a specific trauma-exposed sample, (b) compares the phenomenology (e.g., vividness) of amputation-related memories to more recent memories, and (c) tests whether memory phenomenology is associated with psychological distress. A total of 24 upper-limb amputees recalled two autobiographical memories--an amputation-related memory and a recent memory--and rated the phenomenological qualities of each memory, including Vividness, Coherence, Emotional Intensity, Visual Perspective, and Distancing. Participants also completed self-rated measures of psychological distress and personality. The sample was generally well adjusted; participants showed no relevant symptoms of anxiety and depression, and personality scores were similar to the general population. There were no significant differences in phenomenology between the two types of memories recalled. Even though amputation-related memories were, on average, almost 20 years older than the recent memories, they retained their intense phenomenology. Despite the intensity of the memory, none of the phenomenological dimensions were associated with psychological distress. It is worth to further define which dimensions of phenomenology characterize memories of traumatic events, and their association with individuals' psychological reactions.",PloS one,9,6,1,10.1371/journal.pone.0099803
M. Luchetti and A. R. Sutin,2016,Measuring the phenomenology of autobiographical memory: A short form of the Memory Experiences Questionnaire,"The Memory Experiences Questionnaire (MEQ) is a theoretically driven and empirically validated 63-item self-report scale designed to measure 10 phenomenological qualities of autobiographical memories: Vividness, Coherence, Accessibility, Time Perspective, Sensory Details, Visual Perspective, Emotional Intensity, Sharing, Distancing and Valence. To develop a short form of the MEQ to use when time is limited, participants from two samples (N = 719; N = 352) retrieved autobiographical memories, rated the phenomenological experience of each memory and completed several scales measuring psychological distress. For each MEQ dimension, the number of items was reduced by one-half based on item content and item-total correlations. Each short-form scale had acceptable internal consistency (median alpha = .79), and, similar to the long-form version of the scales, the new short scales correlated with psychological distress in theoretically meaningful ways. The new short form of the MEQ has similar psychometric proprieties as the original long form and can be used when time is limited.","Memory (Hove, England)",24,5,592-602,10.1080/09658211.2015.1031679
"E. A. Maguire, R. S. Frackowiak and C. D. Frith",1996,Learning to find your way: a role for the human hippocampal formation,"The importance of the hippocampal formation of the brain for allocentric spatial mapping of the environment has been suggested by animal lesion and electrophysiological work. Here we describe a positron emission tomography (PET) study designed to investigate the regional cerebral blood flow changes associated with topographical memory formation in humans, i.e. the formation of representations of large-scale environments necessary for way-finding. Topographical learning of an urban environment from viewing of film footage depicting navigation was associated with activation of the right parahippocampal gyrus and hippocampus, with activation also of the left parahippocampal gyrus. In addition, there was activity in the pretuneus. In contrast, the encoding of non-navigation episodic memory in a similar realworld context was not associated with activity in the hippocampal formation. Our results shed light on the neural basis of the human representation of large-scale space pinpointing a particular role for the human hippocampal formation in learning to find one's way.",Proceedings. Biological sciences,263,1377,1745-1750,10.1098/rspb.1996.0255
"H. Mala, M. R. Castro, H. Pearce, S. C. Kingod, S. K. Nedergaard, Z. Scharff, M. Zandersen and J. Mogensen",2012,Delayed intensive acquisition training alleviates the lesion-induced place learning deficits after fimbria-fornix transection in the rat,"This study evaluates the effects of two learning paradigms, intensive vs. baseline, on the posttraumatic acquisition of a water maze based place learning task. Rats were subjected either to a control operation (Sham) or to a fimbria-fornix (FF) transection, which renders the hippocampus dysfunctional and disrupts the acquisition of allocentric place learning. All animals were administered 30 post-lesion acquisition sessions, which spanned either 10 or 30days. The acquisition period was followed by a 7day pause after which a retention probe was administered. The lesioned animals were divided into 3 groups: i) Baseline Acquisition Paradigm (BAP) once daily for 30days starting 1week post-surgery; ii) Early Intensive Acquisition Paradigm (EIAP) 3 times daily for 10days starting 1week post-surgery; and iii) Late Intensive Acquisition Paradigm (LIAP) 3 times daily for 10days starting 3weeks post-surgery. Within the control animals, one group followed the schedule of BAP, and one group followed the schedule of Intensive Acquisition Paradigm (IAP). All lesioned animals showed an impaired task acquisition. LIAP was beneficial in FF animals, in that it led to a better acquisition of the place learning task than the two other acquisition paradigms. The FF/EIAP group did not show improved acquisition compared to the FF/BAP group. The control animals were not differentially affected by the two learning schedules. The findings have implications for cognitive rehabilitation after brain injury and support the assumption that intensive treatment can lead to an improved learning, even when the neural structures underlying such a process are compromised. However, the timing of intensive treatment needs to be considered further.",Brain Research,1445,,40-51,10.1016/j.brainres.2012.01.035
"D. Mao, S. Kandler, B. L. McNaughton and V. Bonin",2017,Sparse orthogonal population representation of spatial context in the retrosplenial cortex,"Sparse orthogonal coding is a key feature of hippocampal neural activity, which is believed to increase episodic memory capacity and to assist in navigation. Some retrosplenial cortex (RSC) neurons convey distributed spatial and navigational signals, but place-field representations such as observed in the hippocampus have not been reported. Combining cellular Ca2+ imaging in RSC of mice with a head-fixed locomotion assay, we identified a population of RSC neurons, located predominantly in superficial layers, whose ensemble activity closely resembles that of hippocampal CA1 place cells during the same task. Like CA1 place cells, these RSC neurons fire in sequences during movement, and show narrowly tuned firing fields that form a sparse, orthogonal code correlated with location. RSC 'place' cell activity is robust to environmental manipulations, showing partial remapping similar to that observed in CA1. This population code for spatial context may assist the RSC in its role in memory and/or navigation.Neurons in the retrosplenial cortex (RSC) encode spatial and navigational signals. Here the authors use calcium imaging to show that, similar to the hippocampus, RSC neurons also encode place cell-like activity in a sparse orthogonal representation, partially anchored to the allocentric cues on the linear track.",Nature communications,8,1,243,10.1038/s41467-017-00180-9
M. Marchlewska and A. Cichocka,2017,An autobiographical gateway: Narcissists avoid first-person visual perspective while retrieving self-threatening memories,"This research examines the role of narcissistic versus genuine self-evaluation in the retrieval of self-threatening memories. Autobiographical memories can be retrieved either from a first-person or a third-person visual perspective. Because narcissism is linked to sensitivity to psychological threats, it should predict retrieval of self-threatening memories using the third-person perspective. Genuine self-esteem, on the other hand, is resilient to threats. Therefore, it should be associated with retrieving self-relevant, even if threatening, memories from the first-person perspective. In two experiments we measured narcissism and self-esteem. Experiment 1 manipulated valence of self-relevant memories by asking participants to recall self-threatening (shameful) or self-boosting (proud) situations. Experiment 2 manipulated self-relevance of negative memories by asking participants to recall self-threatening (shameful) or negative, yet not self-threatening (sad) situations. Visual perspective of memory retrieval served as the dependent variable. In Experiment 1, narcissism predicted avoiding the first-person perspective and employing the third-person perspective in self-threatening memories. Genuine self-esteem predicted employing the first-person perspective regardless of the memories being self-threatening or self-boosting. In Experiment 2, narcissism predicted the third-person perspective, while genuine self-esteem predicted the first-person perspective when self-threatening memories were recalled. Neither narcissism, nor genuine self-esteem were associated with visual perspective when participants recalled negative memories irrelevant to the self. Results shed light on the role of self-evaluation in processing autobiographical memories. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Social Psychology,68,,157-161,10.1016/j.jesp.2016.06.003
P. Marcotti and P. L. St Jacques,2018,Shifting visual perspective during memory retrieval reduces the accuracy of subsequent memories,"Memories for events can be retrieved from visual perspectives that were never experienced, reflecting the dynamic and reconstructive nature of memories. Characteristics of memories can be altered when shifting from an own eyes perspective, the way most events are initially experienced, to an observer perspective, in which one sees oneself in the memory. Moreover, recent evidence has linked these retrieval-related effects of visual perspective to subsequent changes in memories. Here we examine how shifting visual perspective influences the accuracy of subsequent memories for complex events encoded in the lab. Participants performed a series of mini-events that were experienced from their own eyes, and were later asked to retrieve memories for these events while maintaining the own eyes perspective or shifting to an alternative observer perspective. We then examined how shifting perspective during retrieval modified memories by influencing the accuracy of recall on a final memory test. Across two experiments, we found that shifting visual perspective reduced the accuracy of subsequent memories and that reductions in vividness when shifting visual perspective during retrieval predicted these changes in the accuracy of memories. Our findings suggest that shifting from an own eyes to an observer perspective influences the accuracy of long-term memories.","Memory (Hove, England)",26,3,330-341,10.1080/09658211.2017.1329441
"B. U. Marsh, K. Pezdek and S. T. Lam",2014,Imagination perspective affects ratings of the likelihood of occurrence of autobiographical memories,"Two experiments tested and confirmed the hypothesis that when the phenomenological characteristics of imagined events are more similar to those of related autobiographical memories, the imagined event is more likely to be considered to have occurred. At Time 1 and 2-weeks later, individuals rated the likelihood of occurrence for 20 life events. In Experiment 1, 1-week after Time 1, individuals imagined 3 childhood events from a first-person or third-person perspective. There was a no-imagination control. An increase in likelihood ratings from Time 1 to Time 2 resulted when imagination was from the third-person but not first-person perspective. In Experiment 2, childhood and recent events were imagined from a third- or first-person perspective. A significant interaction resulted. For childhood events, likelihood change scores were greater for third-person than first-person perspective; for recent adult events, likelihood change scores were greater for first-person than third-person perspective, although this latter trend was not significant.",Acta psychologica,150,,114-119,10.1016/j.actpsy.2014.05.006
"A. K. Martin, I. Dzafic, S. Ramdave and M. Meinzer",2017,Causal evidence for task-specific involvement of the dorsomedial prefrontal cortex in human social cognition,"The dorsomedial prefrontal cortex (dmPFC) is a key hub of the 'social brain', but little is known about specific processes supported by this region. Using focal high-definition transcranial direct current stimulation (HD-tDCS) and a social cognitive battery with differing demands on self-other processing, we demonstrate specific involvement of the dmPFC in tasks placing high demands on self-other processing. Specifically, excitatory (anodal) HD-tDCS enhanced the integration of external information into the self for explicit higher-order socio-cognitive tasks across cognitive domains; i.e. visual perspective taking (VPT) and episodic memory. These effects were task specific, as no stimulation effects were found for attributing mental states from the eyes or implicit VPT. Inhibitory (cathodal) HD-tDCS had weaker effects in the opposite direction towards reduced integration of external information into the self. We thus demonstrate for the first time a specific and causal role of the dmPFC in integrating higher-order information from others/external source into that of the self across cognitive domains.",Social cognitive and affective neuroscience,12,8,1209-1218,10.1093/scan/nsx063
M. Martin and G. V. Jones,2012,Individualism and the field viewpoint: Cultural influences on memory perspective,"Two perspectives from which memories can be retrieved have been distinguished: field resembles the view from the first-person vantage point of original experience, whereas observer resembles the view from the third-person vantage point of a spectator. There is evidence that the incidences of the two types of perspective differ between at least two different cultural groups. It is hypothesised here that this is a special case of a more general relation between memory perspective and cultural individualism, such that field and observer perspectives are more prevalent among people from, respectively, relatively individualist and relatively collectivist societies. Memory perspectives adopted by participants from a range of different countries were recorded, and were found to vary in the predicted manner. Regression analysis showed that the potential effects of three other cultural variables - uncertainty avoidance, masculinity and, to a lesser extent, power distance - were eclipsed by the influence of individualism, and the implications are discussed.",Consciousness and Cognition,21,3,1498-1503,10.1016/j.concog.2012.04.009
"S. J. Martin, L. de Hoz and R. G. M. Morris",2005,"Retrograde amnesia: neither partial nor complete hippocampal lesions in rats result in preferential sparing of remote spatial memory, even after reminding","Many lesion experiments have provided evidence that the hippocampus plays a time-limited role in memory, consistent with the operation of a systems-level memory consolidation process during which lasting neocortical memory traces become established [see Squire, L. R., Clark, R. E., & Knowlton, B. J. (2001). Retrograde amnesia. Hippocampus 11, 50]. However, large lesions of the hippocampus at different time intervals after acquisition of a watermaze spatial reference memory task have consistently resulted in temporally ungraded retrograde amnesia [Bolhuis, J. J., Stewart, C. A., Forrest, E. M. (1994). Retrograde amnesia and memory reactivation in rats with ibotenate lesions to the hippocampus or subiculum. Quarterly Journal of Experimental Psychology 47B, 129; Mumby, D. G., Astur, R. S., Weisend, M. P., Sutherland, R. J. (1999). Retrograde amnesia and selective damage to the hippocampal formation: memory for places and object discriminations. Behavioural Brain Research 106, 97; Sutherland, R. J., Weisend, M. P., Mumby, D., Astur, R. S., Hanlon, F. M., et al. (2001). Retrograde amnesia after hippocampal damage: recent vs. remote memories in two tasks. Hippocampus 11, 27]. It is possible that spatial memories acquired during such a task remain permanently dependent on the hippocampus, that chance performance may reflect a failure to access memory traces that are initially unexpressed but still present, or that graded retrograde amnesia for spatial information might only be observed following partial hippocampal lesions. This study examined the retrograde memory impairments of rats that received either partial or complete lesions of the hippocampus either 1-2 days, or 6 weeks after training in a watermaze reference memory task. Memory retention was assessed using a novel 'reminding' procedure consisting of a series of rewarded probe trials, allowing the measurement of both free recall and memory reactivation. Rats with complete hippocampal lesions exhibited stable, temporally ungraded retrograde amnesia, and could not be reminded of the correct location. Partially lesioned rats could be reminded of a recently learned platform location, but no recovery of remote memory was observed. These results offer no support for hippocampus-dependent consolidation of allocentric spatial information, and suggest that the hippocampus can play a long-lasting role in spatial memory. The nature of this role-in the storage, retrieval, or expression of memory-is discussed. (C) 2004 Elsevier Ltd. All rights reserved.",Neuropsychologia,43,4,609-624,10.1016/j.neuropsychologia.2004.07.007
"N. Matsumura, H. Nishijo, R. Tamura, S. Eifuku, S. Endo and T. Ono",1999,Spatial- and task-dependent neuronal responses during real and virtual translocation in the monkey hippocampal formation,"The functional significance of the monkey hippocampal formation (HF) and parahippocampal gyrus (PH) neurons in allocentric spatial processing was analyzed during the performance of spatial tasks. In the tasks, the monkey either freely moved to 1 of 4 reward areas in the experimental field by driving a cab that the monkey rode (real translocation task) or freely moved a pointer to 1 of 4 reward areas on the monitor (virtual translocation task) by manipulating a joystick. Of 389 neurons recorded from the monkey HF and PH, 166 had place fields that displayed increased activity in a specific area in the experimental field and/or on the monitor (location-differential neurons). More HF and PH neurons responded in the real translocation task. These neurons had low mean spontaneous firing rates (0.96 spikes/sec). The remaining nonresponsive neurons had significantly higher mean firing rates (8.39 spikes/sec). Furthermore, most location-differential neurons showed different responses in different tasks. These results suggest that the HF and PH are crucial in allocentric information processing and, moreover, that the HF can encode different reference frames that are context or task-dependent. This may be the neural basis of episodic memory. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",The Journal of Neuroscience,19,6,2381-2393,
"A. R. Mayes, J. S. Holdstock, C. L. Isaac, N. M. Hunkin and N. Roberts",2002,Relative sparing of item recognition memory in a patient with adult-onset damage limited to the hippocampus,"There is disagreement about whether selective hippocampal lesions in humans cause clear item recognition as well as recall deficits. Whereas Reed and Squire (Behav Neurosci 1997;111:667-775) found that patients with adult-onset relatively selective hippocampal lesions showed clear item recognition deficits, Vargha-Khadem et al. (Science 1997;277: 376-380, Soc Neurosci Abstr 1998;24:1523) found that 3 patients who suffered selective hippocampal damage in early childhood showed clear recall deficits, but had relatively normal item recognition. Manns and Squire (Hippocampus 1999;9:495-499) argued, however, that item recognition may have been spared in these patients because the early onset of their pathology allowed compensatory mechanisms to develop. Therefore, to determine whether early lesion onset is critical for the relative sparing of item recognition and to determine whether its occurrence is influenced by task factors, we extensively examined item recognition in patient Y.R., who has pathology of adult-onset restricted to the hippocampus. Like the developmental cases, she showed clear free recall deficits on 34 tests, but her item recognition on 43 tests was relatively spared, and markedly less disrupted than her recall. Her item recognition performance relative to that of her controls was not significantly influenced by whether tests tapped visual or verbal materials, had a yes/no or forced-choice format, contained few or many items, had one or several foils per target item, used short or very long delays, or were difficult or easy for normal subjects. Interestingly, YR's bilateral hippocampal destruction was greater than at least 2 of the 3 patients of Manns and Squire (Hippocampus 1999;9:495-499). The possible reasons why item recognition differs across patients with relatively selective hippocampal damage of adult-onset and how the reasons that are truly critical can be best identified are discussed.",Hippocampus,12,3,325-340,10.1002/hipo.1111
C. J. McCarroll,2017,Looking the past in the eye: Distortion in memory and the costs and benefits of recalling from an observer perspective,"Jordi Fernández (2015) discusses the possible benefits of two types of allegedly distorted memories: observer memories and fabricated memories. Fernández argues that even when memory does not preserve the past, some memories can still provide an adaptive benefit for the subject. I explore Fernández's claims focussing on the case of observer perspective memories. For Fernández, observer perspectives are distorted memories because they do not preserve past experience. In contrast, I suggest that observer perspectives can accurately reflect past experience: observer perspectives are not necessarily distorted memories. By looking at the complexity of the relation between remembering trauma from an observer perspective and emotional closure, I also sound a note of caution against Fernández's assertion that observer memories of trauma can be adaptively beneficial. Finally, I suggest that because observer perspectives are not necessarily distorted, but involve a distinct way of thinking about one's past, such memories can be epistemically beneficial.",Consciousness and cognition,49,,322-332,10.1016/j.concog.2017.01.014
"K. B. McDermott, C. L. Wooldridge, H. J. Rice, J. J. Berg and K. K. Szpunar",2016,Visual perspective in remembering and episodic future thought,"According to the constructive episodic simulation hypothesis, remembering and episodic future thinking are supported by a common set of constructive processes. In the present study, we directly addressed this assertion in the context of third-person perspectives that arise during remembering and episodic future thought. Specifically, we examined the frequency with which participants remembered past events or imagined future events from third-person perspectives. We also examined the different viewpoints from which third-person perspective events were remembered or imagined. Although future events were somewhat more likely to be imagined from a third-person perspective, the spatial viewpoint distributions of third-person perspectives characterizing remembered and imagined events were highly similar. These results suggest that a similar constructive mechanism may be at work when people remember events from a perspective that could not have been experienced in the past and when they imagine events from a perspective that could not be experienced in the future. The findings are discussed in terms of their consistency with--and as extensions of--the constructive episodic simulation hypothesis.",Quarterly journal of experimental psychology (2006),69,2,243-253,10.1080/17470218.2015.1067237
H. K. McIsaac and E. Eich,2002,Vantage point in episodic memory,"Examined whether the selection of a particular vantage point (either field or observer) similarly influence the content of one's memory for personally experienced events. 52 university undergraduates (mean age 19 yrs) undertook a series of manual tasks (e.g., shaping objects out of clay) and later recalled the experiences they had while doing so from either a field or an observer vantage point. In the former case, the Ss mentally reinstated the original task environment as if they were seeing it again through their own eyes; in the latter condition, the original task environment was envisioned from the perspective of a detached spectator. Analysis of the Ss' recollections revealed marked differences in the contents of field and observer memories. For instance, whereas field memories afforded richer accounts of the affective reactions, physical sensations, and psychological states that the Ss experienced as they performed the tasks, observer memories included more information about how the Ss looked, what they did, or where things were. Discussion focuses on prospects for future research whose aim would be to investigate the forensic and clinical implications of the field/observer distinction. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",Psychonomic Bulletin & Review,9,1,146-150,
H. K. McIsaac and E. Eich,2004,Vantage point in traumatic memory,"Persons with posttraumatic stress disorder (PTSD) spontaneously recalled the traumatic event that led to their condition from either a field or an observer vantage point. In the former case, participants recollected the event as if they were seeing it again through their own eyes; in the latter case, the event was recalled from the perspective of a detached spectator. Analysis of the two types of recollections revealed marked differences in their contents. Whereas field memories afforded richer accounts of the affective reactions, somatic sensations, and psychological states that participants experienced during the focal trauma, observer memories contained more information about participants' physical appearance and actions and the spatial layout of the traumatic scene. Observer trauma memories were also experienced as less emotional and anxiety provoking than field trauma memories. The discussion focuses on the clinical implications of these findings and prospects for future research on traumatic memory.",Psychol Sci,15,4,248-253,10.1111/j.0956-7976.2004.00660.x
"P. McNamara, E. Benson, B. McGeeney, A. Brown and M. L. Albert",2005,Modes of Remembering in Patients With Chronic Pain: Relation to Current Pain,"The objective of our study was to assess the relation of current pain ratings to observer versus field modes of memory retrieval in patients with chronic pain. Memories from an observer perspective involve seeing oneself in the original event as if from an external point of view; memories from a field perspective involve recalling the event as if viewing it through one's own eyes. Sixty-one patients with chronic pain were asked to (1) recall a painful memory, (2) indicate whether they saw themselves in the memory (observer mode) or re-experienced events of the memory from the first-person perspective (field mode), and (3) rate various phenomenologic properties of the memory. Twenty of these pain patients were also given two frontal lobe tests to examine potential neuropsychologic correlates of memory retrieval preferences. Memory retrieval in the field mode was associated with (a) significantly higher self-reported pain scores on the McGill Pain Questionnaire, (b) nonright-handedness, and (c) poorer performance on the tests of frontal function. Patients with chronic pain who adopt the field mode of memory retrieval when recalling painful memories experience greater current pain severity than chronic pain patients who adopt observer retrieval strategies. Those adopting field retrieval strategies may also evidence frontal system neuropsychologic anomalies. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Nervous and Mental Disease,193,1,53-57,
