Author(s),Year,Title,Journal,Volume,Issue,Abstract,Pages
M. V. Lombardo and S. Baron-Cohen,2010,Unraveling the paradox of the autistic self,Wiley Interdisciplinary Reviews-Cognitive Science,1,3,,393-403
"M. Luchetti, O. Montebarocci, N. Rossi, A. G. Cutti and A. R. Sutin",2014,Autobiographical memory and psychological distress in a sample of upper-limb amputees,PloS one,9,6,"Amputation is a traumatic and life-changing event that can take years to adjust to. The present study (a) examines psychological adjustment in a specific trauma-exposed sample, (b) compares the phenomenology (e.g., vividness) of amputation-related memories to more recent memories, and (c) tests whether memory phenomenology is associated with psychological distress. A total of 24 upper-limb amputees recalled two autobiographical memories--an amputation-related memory and a recent memory--and rated the phenomenological qualities of each memory, including Vividness, Coherence, Emotional Intensity, Visual Perspective, and Distancing. Participants also completed self-rated measures of psychological distress and personality. The sample was generally well adjusted; participants showed no relevant symptoms of anxiety and depression, and personality scores were similar to the general population. There were no significant differences in phenomenology between the two types of memories recalled. Even though amputation-related memories were, on average, almost 20 years older than the recent memories, they retained their intense phenomenology. Despite the intensity of the memory, none of the phenomenological dimensions were associated with psychological distress. It is worth to further define which dimensions of phenomenology characterize memories of traumatic events, and their association with individuals' psychological reactions.",1
M. Luchetti and A. R. Sutin,2016,Measuring the phenomenology of autobiographical memory: A short form of the Memory Experiences Questionnaire,"Memory (Hove, England)",24,5,"The Memory Experiences Questionnaire (MEQ) is a theoretically driven and empirically validated 63-item self-report scale designed to measure 10 phenomenological qualities of autobiographical memories: Vividness, Coherence, Accessibility, Time Perspective, Sensory Details, Visual Perspective, Emotional Intensity, Sharing, Distancing and Valence. To develop a short form of the MEQ to use when time is limited, participants from two samples (N = 719; N = 352) retrieved autobiographical memories, rated the phenomenological experience of each memory and completed several scales measuring psychological distress. For each MEQ dimension, the number of items was reduced by one-half based on item content and item-total correlations. Each short-form scale had acceptable internal consistency (median alpha = .79), and, similar to the long-form version of the scales, the new short scales correlated with psychological distress in theoretically meaningful ways. The new short form of the MEQ has similar psychometric proprieties as the original long form and can be used when time is limited.",592-602
"E. A. Maguire, R. S. Frackowiak and C. D. Frith",1996,Learning to find your way: a role for the human hippocampal formation,Proceedings. Biological sciences,263,1377,"The importance of the hippocampal formation of the brain for allocentric spatial mapping of the environment has been suggested by animal lesion and electrophysiological work. Here we describe a positron emission tomography (PET) study designed to investigate the regional cerebral blood flow changes associated with topographical memory formation in humans, i.e. the formation of representations of large-scale environments necessary for way-finding. Topographical learning of an urban environment from viewing of film footage depicting navigation was associated with activation of the right parahippocampal gyrus and hippocampus, with activation also of the left parahippocampal gyrus. In addition, there was activity in the pretuneus. In contrast, the encoding of non-navigation episodic memory in a similar realworld context was not associated with activity in the hippocampal formation. Our results shed light on the neural basis of the human representation of large-scale space pinpointing a particular role for the human hippocampal formation in learning to find one's way.",1745-1750
"H. Mala, M. R. Castro, H. Pearce, S. C. Kingod, S. K. Nedergaard, Z. Scharff, M. Zandersen and J. Mogensen",2012,Delayed intensive acquisition training alleviates the lesion-induced place learning deficits after fimbria-fornix transection in the rat,Brain Research,1445,,,40-51
"D. Mao, S. Kandler, B. L. McNaughton and V. Bonin",2017,Sparse orthogonal population representation of spatial context in the retrosplenial cortex,Nature communications,8,1,"Sparse orthogonal coding is a key feature of hippocampal neural activity, which is believed to increase episodic memory capacity and to assist in navigation. Some retrosplenial cortex (RSC) neurons convey distributed spatial and navigational signals, but place-field representations such as observed in the hippocampus have not been reported. Combining cellular Ca2+ imaging in RSC of mice with a head-fixed locomotion assay, we identified a population of RSC neurons, located predominantly in superficial layers, whose ensemble activity closely resembles that of hippocampal CA1 place cells during the same task. Like CA1 place cells, these RSC neurons fire in sequences during movement, and show narrowly tuned firing fields that form a sparse, orthogonal code correlated with location. RSC 'place' cell activity is robust to environmental manipulations, showing partial remapping similar to that observed in CA1. This population code for spatial context may assist the RSC in its role in memory and/or navigation.Neurons in the retrosplenial cortex (RSC) encode spatial and navigational signals. Here the authors use calcium imaging to show that, similar to the hippocampus, RSC neurons also encode place cell-like activity in a sparse orthogonal representation, partially anchored to the allocentric cues on the linear track.",243
M. Marchlewska and A. Cichocka,2017,An autobiographical gateway: Narcissists avoid first-person visual perspective while retrieving self-threatening memories,Journal of Experimental Social Psychology,68,,"This research examines the role of narcissistic versus genuine self-evaluation in the retrieval of self-threatening memories. Autobiographical memories can be retrieved either from a first-person or a third-person visual perspective. Because narcissism is linked to sensitivity to psychological threats, it should predict retrieval of self-threatening memories using the third-person perspective. Genuine self-esteem, on the other hand, is resilient to threats. Therefore, it should be associated with retrieving self-relevant, even if threatening, memories from the first-person perspective. In two experiments we measured narcissism and self-esteem. Experiment 1 manipulated valence of self-relevant memories by asking participants to recall self-threatening (shameful) or self-boosting (proud) situations. Experiment 2 manipulated self-relevance of negative memories by asking participants to recall self-threatening (shameful) or negative, yet not self-threatening (sad) situations. Visual perspective of memory retrieval served as the dependent variable. In Experiment 1, narcissism predicted avoiding the first-person perspective and employing the third-person perspective in self-threatening memories. Genuine self-esteem predicted employing the first-person perspective regardless of the memories being self-threatening or self-boosting. In Experiment 2, narcissism predicted the third-person perspective, while genuine self-esteem predicted the first-person perspective when self-threatening memories were recalled. Neither narcissism, nor genuine self-esteem were associated with visual perspective when participants recalled negative memories irrelevant to the self. Results shed light on the role of self-evaluation in processing autobiographical memories. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",157-161
P. Marcotti and P. L. St Jacques,2018,Shifting visual perspective during memory retrieval reduces the accuracy of subsequent memories,"Memory (Hove, England)",26,3,"Memories for events can be retrieved from visual perspectives that were never experienced, reflecting the dynamic and reconstructive nature of memories. Characteristics of memories can be altered when shifting from an own eyes perspective, the way most events are initially experienced, to an observer perspective, in which one sees oneself in the memory. Moreover, recent evidence has linked these retrieval-related effects of visual perspective to subsequent changes in memories. Here we examine how shifting visual perspective influences the accuracy of subsequent memories for complex events encoded in the lab. Participants performed a series of mini-events that were experienced from their own eyes, and were later asked to retrieve memories for these events while maintaining the own eyes perspective or shifting to an alternative observer perspective. We then examined how shifting perspective during retrieval modified memories by influencing the accuracy of recall on a final memory test. Across two experiments, we found that shifting visual perspective reduced the accuracy of subsequent memories and that reductions in vividness when shifting visual perspective during retrieval predicted these changes in the accuracy of memories. Our findings suggest that shifting from an own eyes to an observer perspective influences the accuracy of long-term memories.",330-341
"B. U. Marsh, K. Pezdek and S. T. Lam",2014,Imagination perspective affects ratings of the likelihood of occurrence of autobiographical memories,Acta psychologica,150,,"Two experiments tested and confirmed the hypothesis that when the phenomenological characteristics of imagined events are more similar to those of related autobiographical memories, the imagined event is more likely to be considered to have occurred. At Time 1 and 2-weeks later, individuals rated the likelihood of occurrence for 20 life events. In Experiment 1, 1-week after Time 1, individuals imagined 3 childhood events from a first-person or third-person perspective. There was a no-imagination control. An increase in likelihood ratings from Time 1 to Time 2 resulted when imagination was from the third-person but not first-person perspective. In Experiment 2, childhood and recent events were imagined from a third- or first-person perspective. A significant interaction resulted. For childhood events, likelihood change scores were greater for third-person than first-person perspective; for recent adult events, likelihood change scores were greater for first-person than third-person perspective, although this latter trend was not significant.",114-119
"A. K. Martin, I. Dzafic, S. Ramdave and M. Meinzer",2017,Causal evidence for task-specific involvement of the dorsomedial prefrontal cortex in human social cognition,Social cognitive and affective neuroscience,12,8,"The dorsomedial prefrontal cortex (dmPFC) is a key hub of the 'social brain', but little is known about specific processes supported by this region. Using focal high-definition transcranial direct current stimulation (HD-tDCS) and a social cognitive battery with differing demands on self-other processing, we demonstrate specific involvement of the dmPFC in tasks placing high demands on self-other processing. Specifically, excitatory (anodal) HD-tDCS enhanced the integration of external information into the self for explicit higher-order socio-cognitive tasks across cognitive domains; i.e. visual perspective taking (VPT) and episodic memory. These effects were task specific, as no stimulation effects were found for attributing mental states from the eyes or implicit VPT. Inhibitory (cathodal) HD-tDCS had weaker effects in the opposite direction towards reduced integration of external information into the self. We thus demonstrate for the first time a specific and causal role of the dmPFC in integrating higher-order information from others/external source into that of the self across cognitive domains.",1209-1218
M. Martin and G. V. Jones,2012,Individualism and the field viewpoint: Cultural influences on memory perspective,Consciousness and Cognition,21,3,,1498-1503
"S. J. Martin, L. de Hoz and R. G. M. Morris",2005,"Retrograde amnesia: neither partial nor complete hippocampal lesions in rats result in preferential sparing of remote spatial memory, even after reminding",Neuropsychologia,43,4,,609-624
"N. Matsumura, H. Nishijo, R. Tamura, S. Eifuku, S. Endo and T. Ono",1999,Spatial- and task-dependent neuronal responses during real and virtual translocation in the monkey hippocampal formation,The Journal of Neuroscience,19,6,"The functional significance of the monkey hippocampal formation (HF) and parahippocampal gyrus (PH) neurons in allocentric spatial processing was analyzed during the performance of spatial tasks. In the tasks, the monkey either freely moved to 1 of 4 reward areas in the experimental field by driving a cab that the monkey rode (real translocation task) or freely moved a pointer to 1 of 4 reward areas on the monitor (virtual translocation task) by manipulating a joystick. Of 389 neurons recorded from the monkey HF and PH, 166 had place fields that displayed increased activity in a specific area in the experimental field and/or on the monitor (location-differential neurons). More HF and PH neurons responded in the real translocation task. These neurons had low mean spontaneous firing rates (0.96 spikes/sec). The remaining nonresponsive neurons had significantly higher mean firing rates (8.39 spikes/sec). Furthermore, most location-differential neurons showed different responses in different tasks. These results suggest that the HF and PH are crucial in allocentric information processing and, moreover, that the HF can encode different reference frames that are context or task-dependent. This may be the neural basis of episodic memory. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2381-2393
"A. R. Mayes, J. S. Holdstock, C. L. Isaac, N. M. Hunkin and N. Roberts",2002,Relative sparing of item recognition memory in a patient with adult-onset damage limited to the hippocampus,Hippocampus,12,3,,325-340
C. J. McCarroll,2017,Looking the past in the eye: Distortion in memory and the costs and benefits of recalling from an observer perspective,Consciousness and cognition,49,,"Jordi Fernández (2015) discusses the possible benefits of two types of allegedly distorted memories: observer memories and fabricated memories. Fernández argues that even when memory does not preserve the past, some memories can still provide an adaptive benefit for the subject. I explore Fernández's claims focussing on the case of observer perspective memories. For Fernández, observer perspectives are distorted memories because they do not preserve past experience. In contrast, I suggest that observer perspectives can accurately reflect past experience: observer perspectives are not necessarily distorted memories. By looking at the complexity of the relation between remembering trauma from an observer perspective and emotional closure, I also sound a note of caution against Fernández's assertion that observer memories of trauma can be adaptively beneficial. Finally, I suggest that because observer perspectives are not necessarily distorted, but involve a distinct way of thinking about one's past, such memories can be epistemically beneficial.",322-332
"K. B. McDermott, C. L. Wooldridge, H. J. Rice, J. J. Berg and K. K. Szpunar",2016,Visual perspective in remembering and episodic future thought,Quarterly journal of experimental psychology (2006),69,2,"According to the constructive episodic simulation hypothesis, remembering and episodic future thinking are supported by a common set of constructive processes. In the present study, we directly addressed this assertion in the context of third-person perspectives that arise during remembering and episodic future thought. Specifically, we examined the frequency with which participants remembered past events or imagined future events from third-person perspectives. We also examined the different viewpoints from which third-person perspective events were remembered or imagined. Although future events were somewhat more likely to be imagined from a third-person perspective, the spatial viewpoint distributions of third-person perspectives characterizing remembered and imagined events were highly similar. These results suggest that a similar constructive mechanism may be at work when people remember events from a perspective that could not have been experienced in the past and when they imagine events from a perspective that could not be experienced in the future. The findings are discussed in terms of their consistency with--and as extensions of--the constructive episodic simulation hypothesis.",243-253
H. K. McIsaac and E. Eich,2002,Vantage point in episodic memory,Psychonomic Bulletin & Review,9,1,"Examined whether the selection of a particular vantage point (either field or observer) similarly influence the content of one's memory for personally experienced events. 52 university undergraduates (mean age 19 yrs) undertook a series of manual tasks (e.g., shaping objects out of clay) and later recalled the experiences they had while doing so from either a field or an observer vantage point. In the former case, the Ss mentally reinstated the original task environment as if they were seeing it again through their own eyes; in the latter condition, the original task environment was envisioned from the perspective of a detached spectator. Analysis of the Ss' recollections revealed marked differences in the contents of field and observer memories. For instance, whereas field memories afforded richer accounts of the affective reactions, physical sensations, and psychological states that the Ss experienced as they performed the tasks, observer memories included more information about how the Ss looked, what they did, or where things were. Discussion focuses on prospects for future research whose aim would be to investigate the forensic and clinical implications of the field/observer distinction. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",146-150
H. K. McIsaac and E. Eich,2004,Vantage point in traumatic memory,Psychol Sci,15,4,"Persons with posttraumatic stress disorder (PTSD) spontaneously recalled the traumatic event that led to their condition from either a field or an observer vantage point. In the former case, participants recollected the event as if they were seeing it again through their own eyes; in the latter case, the event was recalled from the perspective of a detached spectator. Analysis of the two types of recollections revealed marked differences in their contents. Whereas field memories afforded richer accounts of the affective reactions, somatic sensations, and psychological states that participants experienced during the focal trauma, observer memories contained more information about participants' physical appearance and actions and the spatial layout of the traumatic scene. Observer trauma memories were also experienced as less emotional and anxiety provoking than field trauma memories. The discussion focuses on the clinical implications of these findings and prospects for future research on traumatic memory.",248-253
"P. McNamara, E. Benson, B. McGeeney, A. Brown and M. L. Albert",2005,Modes of Remembering in Patients With Chronic Pain: Relation to Current Pain,Journal of Nervous and Mental Disease,193,1,"The objective of our study was to assess the relation of current pain ratings to observer versus field modes of memory retrieval in patients with chronic pain. Memories from an observer perspective involve seeing oneself in the original event as if from an external point of view; memories from a field perspective involve recalling the event as if viewing it through one's own eyes. Sixty-one patients with chronic pain were asked to (1) recall a painful memory, (2) indicate whether they saw themselves in the memory (observer mode) or re-experienced events of the memory from the first-person perspective (field mode), and (3) rate various phenomenologic properties of the memory. Twenty of these pain patients were also given two frontal lobe tests to examine potential neuropsychologic correlates of memory retrieval preferences. Memory retrieval in the field mode was associated with (a) significantly higher self-reported pain scores on the McGill Pain Questionnaire, (b) nonright-handedness, and (c) poorer performance on the tests of frontal function. Patients with chronic pain who adopt the field mode of memory retrieval when recalling painful memories experience greater current pain severity than chronic pain patients who adopt observer retrieval strategies. Those adopting field retrieval strategies may also evidence frontal system neuropsychologic anomalies. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",53-57
"A. M. Miller, L. C. Vedder, L. M. Law and D. M. Smith",2014,"Cues, context, and long-term memory: the role of the retrosplenial cortex in spatial cognition",Front Hum Neurosci,8,,"Spatial navigation requires memory representations of landmarks and other navigation cues. The retrosplenial cortex (RSC) is anatomically positioned between limbic areas important for memory formation, such as the hippocampus (HPC) and the anterior thalamus, and cortical regions along the dorsal stream known to contribute importantly to long-term spatial representation, such as the posterior parietal cortex. Damage to the RSC severely impairs allocentric representations of the environment, including the ability to derive navigational information from landmarks. The specific deficits seen in tests of human and rodent navigation suggest that the RSC supports allocentric representation by processing the stable features of the environment and the spatial relationships among them. In addition to spatial cognition, the RSC plays a key role in contextual and episodic memory. The RSC also contributes importantly to the acquisition and consolidation of long-term spatial and contextual memory through its interactions with the HPC. Within this framework, the RSC plays a dual role as part of the feedforward network providing sensory and mnemonic input to the HPC and as a target of the hippocampal-dependent systems consolidation of long-term memory.",586
"A. M. P. Miller, L. C. Vedder, L. M. Law and D. M. Smith",2014,"Cues, context, and long-term memory: The role of the retrosplenial cortex in spatial cognition",Frontiers in Human Neuroscience,8,,"Spatial navigation requires memory representations of landmarks and other navigation cues. The retrosplenial cortex (RSC) is anatomically positioned between limbic areas important for memory formation, such as the hippocampus (HPC) and the anterior thalamus, and cortical regions along the dorsal stream known to contribute importantly to long-term spatial representation, such as the posterior parietal cortex. Damage to the RSC severely impairs allocentric representations of the environment, including the ability to derive navigational information from landmarks. The specific deficits seen in tests of human and rodent navigation suggest that the RSC supports allocentric representation by processing the stable features of the environment and the spatial relationships among them. In addition to spatial cognition, the RSC plays a key role in contextual and episodic memory. The RSC also contributes importantly to the acquisition and consolidation of long-term spatial and contextual memory through its interactions with the HPC. Within this framework, the RSC plays a dual role as part of the feedforward network providing sensory and mnemonic input to the HPC and as a target of the hippocampal-dependent systems consolidation of long-term memory. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",15
"N. Mooren, J. Krans, G. W. B. Naring, M. L. Moulds and A. van Minnen",2016,Vantage perspective during encoding: The effects on phenomenological memory characteristics,Conscious Cogn,42,,"The vantage perspective from which a memory is retrieved influences the memory's emotional impact, intrusiveness, and phenomenological characteristics. This study tested whether similar effects are observed when participants were instructed to imagine the events from a specific perspective. Fifty student participants listened to a verbal report of car-accidents and visualized the scenery from either a field or observer perspective. There were no between-condition differences in emotionality of memories and the number of intrusions, but imagery experienced from a relative observer perspective was rated as less self-relevant. In contrast to earlier studies on memory retrieval, vantage perspective influenced phenomenological memory characteristics of the memory representation such as sensory details, and ratings of vividness and distancing of the memory. However, vantage perspective is most likely not a stable phenomenological characteristic itself. Implications and suggestions for future research are discussed.",142-149
J. Morgan,2010,Autobiographical memory biases in social anxiety,Clinical Psychology Review,30,3,,288-297
R. G. Morris and U. Frey,1997,Hippocampal synaptic plasticity: role in spatial learning or the automatic recording of attended experience?,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",352,1360,"Allocentric spatial learning can sometimes occur in one trial. The incorporation of information into a spatial representation may, therefore, obey a one-trial correlational learning rule rather than a multi-trial error-correcting rule. It has been suggested that physiological implementation of such a rule could be mediated by N-methyl-D-aspartate (NMDA) receptor-dependent long-term potentiation (LTP) in the hippocampus, as its induction obeys a correlational type of synaptic learning rule. Support for this idea came originally from the finding that intracerebral infusion of the NMDA antagonist AP5 impairs spatial learning, but studies summarized in the first part of this paper have called it into question. First, rats previously given experience of spatial learning in a watermaze can learn a new spatial reference memory task at a normal rate despite an appreciable NMDA receptor blockade. Second, the classical phenomenon of 'blocking' occurs in spatial learning. The latter finding implies that spatial learning can also be sensitive to an animal's expectations about reward and so depend on more than the detection of simple spatial correlations. In this paper a new hypothesis is proposed about the function of hippocampal LTP. This hypothesis retains the idea that LTP subserves rapid one-trial memory, but abandons the notion that it serves any specific role in the geometric aspects of spatial learning. It is suggested that LTP participates in the automatic recording of attended experience': a subsystem of episodic memory in which events are temporarily remembered in association with the contexts in which they occur. An automatic correlational form of synaptic plasticity is ideally suited to the online registration of context event associations. In support, it is reported that the ability of rats to remember the most recent place they have visited in a familiar environment is exquisitely sensitive to AP5 in a delay-dependent manner. Moreover, new studies of the lasting persistence of NMDA-dependent LTP, known to require protein synthesis, point to intracellular mechanisms that enable transient synaptic changes to be stabilized if they occur in close temporal proximity to important events. This new property of hippocampal LTP is a desirable characteristic of an event memory system.",1489-1503
"M. Moscovitch, R. S. Rosenbaum, A. Gilboa, D. R. Addis, R. Westmacott, C. Grady, M. P. McAndrews, B. Levine, S. Black, G. Winocur and L. Nadel",2005,"Functional neuroanatomy of remote episodic, semantic and spatial memory: a unified account based on multiple trace theory",Journal of anatomy,207,1,"We review lesion and neuroimaging evidence on the role of the hippocampus, and other structures, in retention and retrieval of recent and remote memories. We examine episodic, semantic and spatial memory, and show that important distinctions exist among different types of these memories and the structures that mediate them. We argue that retention and retrieval of detailed, vivid autobiographical memories depend on the hippocampal system no matter how long ago they were acquired. Semantic memories, on the other hand, benefit from hippocampal contribution for some time before they can be retrieved independently of the hippocampus. Even semantic memories, however, can have episodic elements associated with them that continue to depend on the hippocampus. Likewise, we distinguish between experientially detailed spatial memories (akin to episodic memory) and more schematic memories (akin to semantic memory) that are sufficient for navigation but not for re-experiencing the environment in which they were acquired. Like their episodic and semantic counterparts, the former type of spatial memory is dependent on the hippocampus no matter how long ago it was acquired, whereas the latter can survive independently of the hippocampus and is represented in extra-hippocampal structures. In short, the evidence reviewed suggests strongly that the function of the hippocampus (and possibly that of related limbic structures) is to help encode, retain, and retrieve experiences, no matter how long ago the events comprising the experience occurred, and no matter whether the memories are episodic or spatial. We conclude that the evidence favours a multiple trace theory (MTT) of memory over two other models: (1) traditional consolidation models which posit that the hippocampus is a time-limited memory structure for all forms of memory; and (2) versions of cognitive map theory which posit that the hippocampus is needed for representing all forms of allocentric space in memory.",35-66
L. Nadel and O. Hardt,2004,The spatial brain,Neuropsychology,18,3,"Themes emerging from the collection of articles in the Special Section on Long-Term Spatial Memory include the notion of multiple spatial systems, the relation between spatial representations and episodic memory, the role of context, and the neural systems involved in space. The authors conclude that distinguishing between egocentric and allocentric spatial systems makes sense of both behavioral and neurobiological data. The special role of the hippocampal system in allocentric space, and as a consequence, in context, suggests how a spatial system might end up central to the ability to remember episodes. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",473-476
K. Naragon-Gainey and K. G. DeMarree,2017,Structure and validity of measures of decentering and defusion,Psychological Assessment,29,7,"Defusion and decentering are related constructs that describe an objective, distanced, and open approach toward one’s internal experiences. These constructs are thought to play important protective roles in models of psychopathology, and several common therapeutic interventions include techniques to increase levels of defusion and decentering. However, little research has examined the construct validity or the underlying structure of measures of these constructs. Across 4 samples—3 unselected student samples and 1 clinical sample—we examined 5 self-report measures of defusion/decentering. We found that measures of decentering and defusion were only weakly to modestly associated with each other. Item-level analyses revealed a 2-factor structure, consisting of “Observer Perspective” and “Reduced Struggle with Inner Experience,” which generally showed expected and distinct patterns of convergent and discriminant validity, although the latter factor had questionable discriminant validity namely a-namely indices of psychological distress (e.g., neuroticism, negative affect, internalizing symptoms, rumination). The factors also related differently to believability of positive versus negative thoughts, which was partially explained by the overrepresentation of negative items in the measures. Implications for the structure and validity of these constructs, as well as for their assessment and use in clinical settings, are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract) Impact statementPublic Significance Statement—This study examined the construct validity of a variety of measures of decentering and defusion, which are related cognitive techniques for treating a variety of psychological disorders. Results suggest that they consist of 2 distinct components (i.e., observer perspective and reduced struggle with inner experience), and support for this novel structure advances the assessment and conceptualization of decentering and defusion. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",935-954
"S. F. Neggers, R. H. Van der Lubbe, N. F. Ramsey and A. Postma",2006,Interactions between ego- and allocentric neuronal representations of space,Neuroimage,31,1,"In the primate brain, visual spatial representations express distances of objects with regard to different references. In the parietal cortex, distances are thought to be represented with respect to the body (egocentric representation) and in superior temporal cortices with respect to other objects, independent of the observer (allocentric representation). However, these representations of space are interdependent, complicating such distinctions. Specifically, an object's position within a background frame strongly biases egocentric position location judgments. This bias, however, is absent for pointing movements towards that same object. More recent theories state that dorsal parietal spatial representations subserve visuomotor processing, whereas temporal lobe representations subserve memory and cognition. Therefore, it may be hypothesized that parietal egocentric representations, responsible for movement control, are not influenced by irrelevant allocentric cues, whereas ventral representations are. In an event-related functional magnetic resonance imaging study, subjects judged target bar locations relative to their body (egocentric task) or a background bar (allocentric task). Activity in the superior parietal lobule (SPL) was shown to increase during egocentric judgments, but not during allocentric judgments. The superior temporal gyrus (STG) shows a negative BOLD response during allocentric judgments and no activation during egocentric judgments. During egocentric judgments, the irrelevant background influenced activity in the posterior commissure and the medial temporal gyrus. SPL activity was unaffected by the irrelevant background during egocentric judgments. Sensitivity to spatial perceptual biases is apparently limited to occipito-temporal areas, subserving the observed biased cognitive reports of location, and is not found in parietal areas, subserving unbiased goal-directed actions.",320-331
"S. Neils, E. A. Holmes, R. Palmieri, G. Bellelli and F. Raes",2015,Thinking back about a positive event: the impact of processing style on positive affect,Frontiers in Psychiatry,6,,,
"S. Nelis, E. Debeer, E. A. Holmes and F. Raes",2013,Dysphoric students show higher use of the observer perspective in their retrieval of positive versus negative autobiographical memories,"Memory (Hove, England)",21,4,"Autobiographical memories are retrieved as images from either a field perspective or an observer perspective. The observer perspective is thought to dull emotion. Positive affect is blunted in depressed mood. Consequently, are positive events recalled from an observer perspective in depressed mood? We investigated the relationship between memory vantage perspective and depressive symptoms in a student sample. Participants completed the Autobiographical Memory Test (AMT; Williams & Broadbent, 1986) and assessed the perspective accompanying each memory. The Beck Depression Inventory-II (BDI-II; Beck, Steer, & Brown, 1996) and the Responses to Positive Affect questionnaire (RPA; Feldman, Joormann, & Johnson, 2008) were administered. The results showed a small positive association between depressive symptoms and the use of an observer perspective for positive autobiographical memories, but not for negative memories. Furthermore, comparing a subgroup with clinically significant symptom levels (dysphoric students) with non-dysphoric individuals revealed that dysphoric students used an observer perspective more for positive memories compared with negative memories. This was not the case for non-dysphoric students. The observer perspective in dysphorics was associated with a dampening cognitive style in response to positive experiences.",423-430
A. Newen and K. Vogeley,2003,Self-representation: Searching for a neural signature of self-consciousness,Consciousness and Cognition,12,4,,529-543
"A. S. Ng, M. J. Abbott and C. Hunt",2014,The effect of self-imagery on symptoms and processes in social anxiety: A systematic review,Clinical Psychology Review,34,8,,620-633
G. Nigro and U. Neisser,1983,Point of view in personal memories,Cognitive Psychology,15,4,"Examined a structural aspect of personal memories in 4 studies with 60 college and 30 high school students. In some memories, one has the perspective of an observer, seeing oneself ""from the outside."" In other memories, one sees the scene from one's own perspective; the field of view in such memories corresponds to that of the original situation. The existence of ""observer"" and ""field"" memories was confirmed in Study 1, using a recall questionnaire. In Study 2, the similarity structure of a specified set of 8 to-be-recalled situations was established: The significant dimensions were emotionality and self-awareness. Study 3 related these dimensions to the observer–field distinction; situations involving a high degree of emotion and self-awareness were most likely to be recalled with an observer perspective. Recall set was varied in Study 4: A focus on feelings, as opposed to objective circumstances, produced relatively more field memories. Studies 3 and 4 also showed that events reported as more recent tended to be recalled in the field mode. Thus, a qualitative characteristic of personal memories—the perspective from which they are experienced—is apparently related to characteristics of the original event, to the individual's purpose in recalling that event, and to the reported recall interval. (22 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",467-482
"J. O'Keefe, N. Burgess, J. G. Donnett, K. J. Jeffery and E. A. Maguire",1998,"Place cells, navigational accuracy, and the human hippocampus","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",353,1373,"The hippocampal formation in both rats and humans is involved in spatial navigation. In the rat, cells coding for places, directions, and speed of movement have been recorded from the hippocampus proper and/or the neighbouring subicular complex. Place fields of a group of the hippocampal pyramidal cells cover the surface of an environment but do not appear to do so in any systematic fashion. That is, there is no topographical relation between the anatomical location of the cells within the hippocampus and the place fields of these cells in an environment. Recent work shows that place cells are responding to the summation of two or more Gaussian curves, each of which is fixed at a given distance to two or more walls in the environment. The walls themselves are probably identified by their allocentric direction relative to the rat and this information may be provided by the head direction cells. The right human hippocampus retains its role in spatial mapping as demonstrated by its activation during accurate navigation in imagined and virtual reality environments. In addition, it may have taken on wider memory functions, perhaps by the incorporation of a linear time tag which allows for the storage of the times of visits to particular locations. This extended system would serve as the basis for a spatio-temporal event or episodic memory system.",1333-1340
"T. Ono, K. Nakamura, H. Nishijo and S. Eifuku",1993,MONKEY HIPPOCAMPAL-NEURONS RELATED TO SPATIAL AND NONSPATIAL FUNCTIONS,Journal of Neurophysiology,70,4,,1516-1529
"M. Ozbek, A. Bohn and D. Berntsen",2017,Imagining the personal past: Episodic counterfactuals compared to episodic memories and episodic future projections,Mem Cognit,45,3,"Episodic counterfactuals are imagined events that could have happened, but did not happen, in a person's past. Such imagined past events are important aspects of mental life, affecting emotions, decisions, and behaviors. However, studies examining their phenomenological characteristics and content have been few. Here we introduced a new method to systematically compare self-generated episodic counterfactuals to self-generated episodic memories and future projections with regard to their phenomenological characteristics (e.g., imagery, emotional valence, and rehearsal) and content (e.g., reference to a cultural life script), and how these were affected by temporal distance (1 month, 1 year, 5+ years). The findings showed that the three types of events differed phenomenologically. First, episodic memories were remembered more easily, with more sensory details, and from a dominantly field perspective, as compared to both future projections and episodic counterfactuals. Second, episodic future projections were more positive, more voluntarily rehearsed, and more central to life story and identity than were both episodic memories and episodic counterfactuals. Third, episodic counterfactuals differed from both episodic memories and future projections by neither having the positivity bias of the future events nor the enhanced sensory details of the past events. Across all three event types, sensory details decreased, whereas importance, reference to a cultural life script, and centrality increased with increasing temporal distance. The findings show that imagined events are phenomenologically different from memories of experienced events, consistent with reality-monitoring theory, and that imagined future events are different from both actual and imagined past events, consistent with some theories of motivation.",375-389
